res
0.392654225
0.785039344
1.176886436
1.567926949
1.957892883
2.346516976
2.733532882
3.118675362
3.501680458
3.882285677
4.260230171
4.635254916
5.007102889
5.375519243
5.740251485
6.101049646
6.457666452
6.809857496
7.157381404
7.5
7.837478471
8.169585525
8.496093554
8.816778784
9.131421435
9.439805866
9.741720725
10.0369591
10.32531864
10.60660172
10.88061557
11.14717238
11.40608948
11.65718942
11.9003001
12.13525492
12.36189283
12.58005852
12.78960247
12.99038106
13.18225669
13.36509786
13.53877927
13.70318186
13.85819299
14.0037064
14.13962237
14.26584774
14.38229602
14.48888739
14.58554881
14.67221401
14.74882361
14.81532511
14.87167292
14.91782843
14.95376001
14.97944302
14.99485987
15
14.99485987
14.97944302
14.95376001
14.91782843
14.87167292
14.81532511
14.74882361
14.67221401
14.58554881
14.48888739
14.38229602
14.26584774
14.13962237
14.0037064
13.85819299
13.70318186
13.53877927
13.36509786
13.18225669
12.99038106
12.78960247
12.58005852
12.36189283
12.13525492
11.9003001
11.65718942
11.40608948
11.14717238
10.88061557
10.60660172
10.32531864
10.0369591
9.741720725
9.439805866
9.131421435
8.816778784
8.496093554
8.169585525
7.837478471
7.5
7.157381404
6.809857496
6.457666452
6.101049646
5.740251485
5.375519243
5.007102889
4.635254916
4.260230171
3.882285677
3.501680458
3.118675362
2.733532882
2.346516976
1.957892883
1.567926949
1.176886436
0.785039344
0.392654225
1.84E-15
